publication_number,title,applicants_original,inventors_original,priority_date,publication_date,publication_year
US-2025014083-A1,"Systems and methods for tokenization, recordation, payment, settlement, instruction, retirement, data management, and output of intelligent data related to assets and asset attributes ","Jpmorgan Chase Bank, N.A.","Aditya Mayur TADAY, Alexandra PRAGER MILLER, Alexandros MYLONAS, Angela Pratt, Angelo ARATAN, Dylan PAUL, George KASSIS, Haijing Zhang, Jitendra Bhurat, Manmeet AHLUWALIA, Patricia Jaimez GÓMEZ, Renuka BELWALKAR, Shawn M. ROLING, Sophia WASSERMAN, Tyrone D. LOBBAN",7/6/2023,1/9/2025,2025
US-2024140265-A1,Vehicle battery health optimization and communication ,Volvo Car Corporation,"Andreas Martin Viktor Ropel, Ben Peter Lloyd, Matthias Yannick Philippe Le Saux, Konstantinos Chatziioannou, Klas Roland Persson Signell",10/28/2022,5/2/2024,2024
US-2023386270-A1,Prediction and identification of potential bearing anamolies within an electric motor of an electric vehicle ,Robert Bosch Gmbh,"Mohamed Moustafa El-Gammal, Juergen Guenther Zybell",5/31/2022,11/30/2023,2023
US-2024278767-A1,Control device for a hybrid electric vehicle and a control method thereof ,"Hyundai Motor Company, Kia Corporation","Min Gyun Jo, Jae Young CHOI, Gwang Il Du, Chun Hyuk Lee, Hoon Han",2/22/2023,8/22/2024,2024
US-2025045066-A1,Edge-cloud collaboration system and method ,Lg Electronics Inc.,"Yonghwan Lee, Kihyeon Kim, Jongyeop Lee, Ahyoung SHIN",3/18/2022,2/6/2025,2025
US-2023211676-A1,Supercapacitor to electrochemical hybrid system with electrochemical battery testing capability ,"Sustainable Energy Technologies, Inc.",John Cronin,12/30/2021,7/6/2023,2023
US-2024242545-A1,Driving modification to decrease carbon ,"Toyota Connected North America, Inc.","Olarinre Salako, Varun Prasad, Daniel Ellis Holman, Farzam Ghanbarnezhad, Danny P. Bargas, Rohit Mishra, Jennifer C. Lerman",1/16/2023,7/18/2024,2024
US-2024397279-A1,System and method for presenting ai-generated information to vehicle user ,Dr. Ing. H.C. F. Porsche Aktiengesellschaft,"Ethan Papp, Cyril Dorsaz",5/25/2023,11/28/2024,2024
US-2024063696-A1,"Method for Producing a Stack of Magnetic Sheets for a Rotor and/or Stator of an Electric Machine, and Method for Producing an Electric Machine, and Method for Producing an Installation and a Vehicle ",Siemens Aktiengesellschaft,"Carsten Schuh, Thomas Soller, Rolf Vollmer",12/30/2020,2/22/2024,2024
US-2024302243-A1,Builder Quality Improvement and Cost Reduction with Sensor Data and Analytics ,"Riot Technology, Inc.","Brian T. McCarthy, Mackenzie Bishop, Tommy D. Hindmarsh, Harold Marc Stillman, John Freisinger",11/18/2021,9/12/2024,2024
US-2024220981-A1,Autopayments for vehicles using blockchain technology ,Volvo Car Corporation,"Andreas Martin Viktor Ropel, Ben Peter Lloyd, Matthias Yannick Philippe Le Saux, Konstantinos Chatziioannou, Klas Roland Persson Signell",12/29/2022,7/4/2024,2024
US-2024328709-A1,Refrigerator for managing product stock and method therefor ,Lg Electronics Inc.,"Jaehong Kim, Kamin LEE, Hangil JEONG, Hyoeun Kim, Heeyeon CHOI, Hyejeong Jeon",7/27/2021,10/3/2024,2024
US-2024317081-A1,Inductive charging system for electric vehicles ,Ev Charging Solutions Llc,"Luis M. Ortiz, Kermit D. Lopez",1/6/2022,9/26/2024,2024
US-2024399928-A1,Air cooled battery ,Volvo Car Corporation,Hans Erik Olsen,5/30/2023,12/5/2024,2024
US-2024140779-A1,Device and method for controlling refueling of hydrogen ,"Hyundai Motor Company, Kia Corporation","Ji Hye PARK, Dae Nyung Lee, A Eun Yoon",10/31/2022,5/2/2024,2024
US-12224616-B1,Systems and methods of dynamic adaptive fast charging in batteries to reduce lithium plating ,Eatron Technologies Limited,"Muharrem Ugur Yavas, Can Kurtulus",,2/11/2025,2025
US-2024399921-A1,Power transfer from vehicle-in-motion to power grid ,International Business Machines Corporation,Sarbajit K. Rakshit,6/5/2023,12/5/2024,2024
US-2024351472-A1,Artificial intelligence and machine learning architecture in a battery system ,"Element Energy, Inc.","Chandan Gope, Kevin Yiwei Zhao, William Joseph Judge, Yoosok SAW",4/12/2023,10/24/2024,2024
US-2024420214-A1,Systems and methods for artificial intelligence-based automation improvements ,State Farm Mutual Automobile Insurance Company,Daniel Wilson,6/16/2023,12/19/2024,2024
US-12110001-B1,Vehicle operating system ,Karma Automotive Llc,"Stefan Gudmundsson, Kevin Y. Zhang, Lance Zhou",11/10/2020,10/8/2024,2024
US-2024421760-A1,Solar panel pillar ,Nicholas J. Singer,Nicholas J. Singer,4/7/2023,12/19/2024,2024
US-2024308533-A1,Vehicle control modules including containerized orchestration and resource management for mixed criticality systems ,GM Global Technology Operations LLC,"Tomer Peretz, Ofer Rosenberg, Boris Tsukerman, Moshe Anscel",3/15/2023,9/19/2024,2024
US-2023213593-A1,Supercapacitor to electrochemical hybrid system with supercapacitor testing capability ,"Sustainable Energy Technologies, Inc.",John Cronin,12/30/2021,7/6/2023,2023
US-2024140262-A1,Intelligent battery system ,Volvo Car Corporation,"Andreas Martin Viktor Ropel, Ben Peter Lloyd, Matthias Yannick Philippe Le Saux, Konstantinos Chatziioannou, Klas Roland Persson Signell",10/28/2022,5/2/2024,2024
US-2024144747-A1,Intelligent battery system ,Volvo Car Corporation,"Andreas Martin Viktor Ropel, Ben Peter Lloyd, Matthias Yannick Philippe Le Saux, Konstantinos Chatziioannou, Klas Roland Persson Signell",10/28/2022,5/2/2024,2024
US-11794770-B1,Systems and methods for hearing impaired drivers ,"Ford Global Technologies, Llc","Noha Ghannam, Clara Bennie, Cheri Hansen",6/15/2022,10/24/2023,2023
US-2024266842-A1,Systems and methods for monitoring and managing battery systems ,"Fluid Power Ai, Llc","Brenton Parr Munson, Francis Mitchell Toglia, Jose Maria Guadalupe Gomez",2/7/2023,8/8/2024,2024
US-2025042257-A1,Systems and methods for adaptive sensor-based provisioning ,"Capital One Services, Llc",Paul L. CIMINO,8/3/2023,2/6/2025,2025
US-2024142534-A1,Intelligent battery system ,Volvo Car Corporation,"Andreas Martin Viktor Ropel, Ben Peter Lloyd, Matthias Yannick Philippe Le Saux, Konstantinos Chatziioannou, Klas Roland Persson Signell",10/28/2022,5/2/2024,2024
US-2024083276-A1,Precooling of electric vehicle charging stations ,"Rivian Ip Holdings, Llc","Michael Rosenblatt, Silva Hiti",9/8/2022,3/14/2024,2024
US-2024270106-A1,Electric vehicle charging method and electric vehicle using the same ,Korea Institute Of Energy Technology,"Juhyun SONG, Youngtae NOH, Yonggeon LEE",2/13/2023,8/15/2024,2024
US-2024308336-A1,Autonomous vehicle interaction with physical environment ,GM Global Technology Operations LLC,"Michael Alan Losh, Manoj Sharma, Donald K. Grimm",3/14/2023,9/19/2024,2024
US-2024266867-A1,Systems and methods for monitoring power systems ,"Fluid Power Ai, Llc","Brenton Parr Munson, Francis Mitchell Toglia, Jose Maria Guadalupe Gomez",2/7/2023,8/8/2024,2024
US-2025033513-A1,Telematics carbon emission tracker tool and method ,State Farm Mutual Automobile Insurance Company,Daniel Wilson,7/26/2023,1/30/2025,2025
US-2024361393-A1,Evaluation system for dry electrode mixture of vehicle battery ,"Hyundai Motor Company, Kia Corporation","Hyun Jin Kim, Chan Bum Park, Geun Ho Choi, Han Nah Song",4/28/2023,10/31/2024,2024
US-2024028653-A1,Systems and methods for selecting supplemental content for a user based on a helping user's behavior ,"Rovi Guides, Inc.",Mona Singh,7/22/2022,1/25/2024,2024
US-2024346422-A1,"Systems for and methods of increasing electric vehicle utilization in transit fleets using learning, predictions, optimization, and automation ","AV-Connect, Inc.","Bruce Wootton, Jacopo Guanetti, Yeojun Kim",4/13/2023,10/17/2024,2024
US-2024355211-A1,"Systems for and methods of increasing electric vehicle utilization in transit fleets using learning, predictions, optimization, and automation ","AV-Connect, Inc.","Bruce Wootton, Jacopo Guanetti, Yeojun Kim",4/13/2023,10/24/2024,2024
US-2024336258-A1,Device and method for controlling a vehicle ,"Hyundai Motor Company, Kia Corporation",Il Hwan Kim,4/6/2023,10/10/2024,2024
US-2024338749-A1,Information system for products to improve a home score ,State Farm Mutual Automobile Insurance Company,"Alexander Cardona, Phillip Michael Wilkowski, Amy L. Starr, Daniel Wang",4/10/2023,10/10/2024,2024
US-11897364-B1,Battery model calibration ,"Rivian Ip Holdings, Llc","Yang Hu, Rutooj Deelip Deshpande, Cuong Cao Nguyen",12/19/2022,2/13/2024,2024
US-2023286131-A1,Robot ,Lg Electronics Inc.,"Haklim LEE, Jiyong Shin, Sanghyuk IM",8/19/2020,9/14/2023,2023
US-2024153262-A1,Device for managing a visual saliency model and control method thereof ,Lg Electronics Inc.,"Sen Jia, Homa Fashandi, Neil Bruce",11/3/2022,5/9/2024,2024
US-2024351788-A1,Robot system ,Lg Electronics Inc.,"Haklim LEE, Jeeyoung CHEON",4/24/2023,10/24/2024,2024
US-2024217363-A1,Electric vehicle charging sites ,"Veloce Energy, Inc.","Jeffery D. WOLFE, Michael Schenck",5/13/2021,7/4/2024,2024
US-2025033995-A1,Composition for forming electrode active material layer for lithium ion secondary batteries ,"Osaka Gas Co., Ltd., Kri, Inc.","Fumiya KONDOU, Masanori Fujii, Hajime Kinoshita",11/22/2021,1/30/2025,2025
US-2024343149-A1,Systems and methods for optimal control of electric vehicle fleet and charging infrastructure ,BluWave Inc.,"Christopher Galbraith, Keegan Michael John GREEN, Kaan Turker GUN, Thomas Triplet, Alexander LINCHIEH, Devashish PAUL",4/11/2023,10/17/2024,2024
US-2024235332-A1,Power supply system for electric vehicles ,Yongxin Wang,Yongxin Wang,7/29/2021,7/11/2024,2024
US-2023278230-A1,Tray and robot having same ,Lg Electronics Inc.,"Yongsoo Kwak, Taiwoo Kim, Gunho Lee, Jaewon Chang",8/4/2020,9/7/2023,2023
US-2022111508-A1,Robot ,Lg Electronics Inc.,"Moonchan Kim, Taiwoo Kim, Wondong LEE, Sanghun MUN, Yoonhyouk CHEONG",10/8/2020,4/14/2022,2022
US-2023310683-A1,Robot ,Lg Electronics Inc.,"Haklim LEE, Jiyong Shin",8/24/2020,10/5/2023,2023
US-2024112692-A1,Augmented in-vehicle communication ,GM Global Technology Operations LLC,"Maxim Burgman, Gaurav Talwar",10/4/2022,4/4/2024,2024
US-2024059176-A1,Charge cable release for an electric vehicle ,Volvo Car Corporation,"Per Carlsson, Jerry Haaga",8/22/2022,2/22/2024,2024
US-2025042290-A1,Power outlet protection device ,eClever technology GmbH,Oliver Raguse,12/12/2021,2/6/2025,2025
US-2023343145-A1,Systems and methods using dual vehicle digital twins for model-based learning and remotely-operated vehicles ,"Ford Global Technologies, Llc","Laleh Ghalami, James Wilhelm Heaton, Praveen Kumar Yalavarty, Sajit Janardhanan, Navid Tafaghodi Khajavi",4/21/2022,10/26/2023,2023
US-2023373454-A1,Accelerator-brake converter ,"JREX Co., Ltd.",Shigeki Okazaki,5/18/2022,11/23/2023,2023
US-2024154141-A1,Plug-in fuel cell module ,Ruben G. Creus,Ruben G. Creus,11/3/2022,5/9/2024,2024
US-2024101177-A1,Charging cart for charging electric vehicle ,EVAR Inc.,"Hun Lee, Dong Hyuk Shin, Ki Jae Kim",6/7/2021,3/28/2024,2024
US-2024425031-A1,Hybrid vehicle energy storage control ,Jaguar Land Rover Limited,"Thomas MOURRÉ, Laurentiu Cancel, Matthew Hancock",10/20/2021,12/26/2024,2024
US-2024104935-A1,Apparatus and method for recognizing an object ,"Hyundai Motor Company, Kia Corporation","Jun Hyung Kim, Hee Chul CHOI, Jong Hyuk Lim, Tae Koan Yoo",9/26/2022,3/28/2024,2024
US-2024359147-A1,Bleach dilution and delivery vehicle ,BleachTech LLC,"Timothy F. Maegly, Julio C. Esis",4/26/2023,10/31/2024,2024
US-2024014655-A1,Artificial intelligence apparatus based on ess and method for clustering energy prediction models thereof ,Lg Electronics Inc.,Jaehong Kim,7/8/2022,1/11/2024,2024
US-2024221439-A1,Vehicle biometric authentication using blockchain technology ,Volvo Car Corporation,"Andreas Martin Viktor Ropel, Ben Peter Lloyd, Matthias Yannick Philippe Le Saux, Konstantinos Chatziioannou, Klas Roland Persson Signell",12/29/2022,7/4/2024,2024
US-2024217383-A1,Enhancing vehicle quality of service using blockchain technology ,Volvo Car Corporation,"Andreas Martin Viktor Ropel, Ben Peter Lloyd, Matthias Yannick Philippe Le Saux, Konstantinos Chatziioannou, Klas Roland Persson Signell",12/29/2022,7/4/2024,2024
US-2024192021-A1,Handling Road Marking Changes ,"Argo AI, LLC","Konstantinos Batsos, Khalid Yousif, Thomas Bu, Yong-Dian Jian",12/8/2022,6/13/2024,2024
US-2024394758-A1,Systems and methods for advanced home monitoring ,State Farm Mutual Automobile Insurance Company,"Kami LaVallier, Cara B. Shoup, Michael J. Maier",5/25/2023,11/28/2024,2024
US-2024140257-A1,An intelligent battery system ,Volvo Car Corporation,"Andreas Martin Viktor Ropel, Ben Peter Lloyd, Matthias Yannick Philippe Le Saux, Konstantinos Chatziioannou, Klas Roland Persson Signell",10/28/2022,5/2/2024,2024
US-2024416794-A1,Electric vehicle charging recommendation systems and methods ,"Ford Global Technologies, Llc","Fling Finn Tseng, Himanshu Verma, Kwaku O. Prakah-Asante, Swati Johar Rawat, Bhagyashri Satyabodha Katti",6/13/2023,12/19/2024,2024
US-2024140260-A1,An intelligent battery system ,Volvo Car Corporation,"Andreas Martin Viktor Ropel, Ben Peter Lloyd, Matthias Yannick Philippe Le Saux, Konstantinos Chatziioannou, Klas Roland Persson Signell",10/28/2022,5/2/2024,2024
US-2024140261-A1,Intelligent battery system ,Volvo Car Corporation,"Andreas Martin Viktor Ropel, Ben Peter Lloyd, Matthias Yannick Philippe Le Saux, Konstantinos Chatziioannou, Klas Roland Persson Signell",10/28/2022,5/2/2024,2024
US-2023093840-A1,Compute system with controller area network vehicle identification mechanism and method of operation thereof ,"Moj.Io, Inc.",James Anthony Curtis,9/23/2021,3/30/2023,2023
US-12012110-B1,Systems and methods for intelligently transforming data to generate improved output data using a probabilistic multi-application network ,"Crawford Group, Inc.","Michael Naoom, Michael Rortvedt, Trent Tinsley",10/20/2023,6/18/2024,2024
US-2024166075-A1,Automatic inspection and locking for an electric vehicle charging station ,"Amazon Technologies, Inc.","Mike MacGregor, Bhavik Patel, David Lee Coats",11/17/2022,5/23/2024,2024
US-2025030246-A1,System and method for managing an electrical power network ,Vistra Zero LLC,"Bryan STEWART, Jarrod Maddox, Gene Luster, Jeff Longshore",6/1/2023,1/23/2025,2025
US-2025023386-A1,"Methods, devices, and systems for home based electric vehicle (ev) charging ",Iotecha Corp.,"Oleg Logvinov, Kimberly Sarubbi, Adrian Weidmann",9/13/2021,1/16/2025,2025
US-2024140263-A1,Intelligent battery system ,Volvo Car Corporation,"Andreas Martin Viktor Ropel, Ben Peter Lloyd, Matthias Yannick Philippe Le Saux, Konstantinos Chatziioannou, Klas Roland Persson Signell",10/28/2022,5/2/2024,2024
US-2022024439-A1,Drive system of a plug-in hybrid vehicle and method for operating such a drive system ,Dr. Ing. H.C. F. Porsche Aktiengesellschaft,"Martin Leimboeck, Bernhard Freiermuth",7/27/2020,1/27/2022,2022
US-2024157836-A1,Systems and methods for energy distribution entities and networks for electric vehicle energy delivery ,BluWave Inc.,"Christopher Galbraith, Keegan Michael John GREEN, Nasrin SADEGHIANPOURHAMAMI, Alexander LINCHIEH, Devashish PAUL, Mostafa FARROKHABADI",11/16/2022,5/16/2024,2024
US-2025020710-A1,System and method for voltage drift monitoring ,Stmicroelectronics International N.V.,"Francesco RUNDO, Carmelo Pino, Michele Calabretta, Alessandro SITTA, Angelo Alberto Messina, Salvatore Coffa",7/10/2023,1/16/2025,2025
US-2023008938-A1,Charge-and-discharge management system ,"Prime Planet Energy & Solutions, Inc.","Miho SAISHO, Kiyota Taniguchi, Aya Sato, Yuki Ito, Katsushi Saito, Masato Koutari, Hiroshi Tatsumi",7/7/2021,1/12/2023,2023
US-2024375645-A1,Overtake decision based on other vehicle behavior ,Volvo Car Corporation,"Oswaldo Perez Barrera, Anders LENNARTSSON",5/9/2023,11/14/2024,2024
US-2024086860-A1,Predicting maintenance servicings for a fleet of vehicles ,"Rivian Ip Holdings, Llc","Jennifer BRUCHHARDT, Daniel Andrew Sussna, Mohammed FARAG, Jason SHIVERICK, Jake BUCHER, Ketan DANDE",9/8/2022,3/14/2024,2024
US-2024092264-A1,Automatic mirror adjustment system and method ,Vinai Artificial Intelligence Application And Research Joint Stock Company,"Ngoc Ba Son NINH, Quang Tu TA, Viet Tien TRAN, Hai Hung BUI, Thi Ngoc Lan LE, Duc Toan BUI, Thanh Vuong CAP, Huu Tuyen NGUYEN",9/13/2022,3/21/2024,2024
US-2024323691-A1,Mode switch for partial integrity security operations ,Qualcomm Incorporated,"Richard Dominic Wietfeldt, Philip Michael Hawkes, William Whyte, Jonathan Petit",3/23/2023,9/26/2024,2024
US-2023234598-A1,Vehicle and method for diagnosing deterioration of on-vehicle component ,Toyota Jidosha Kabushiki Kaisha,"Ryosuke Kobayashi, Tomokazu MAYA, Tsuyoshi Okada, Hiromitsu Fujii",1/24/2022,7/27/2023,2023
US-2023090918-A1,Method and system for vehicle data file playback ,Blackberry Limited,"Sue Hsiu Ying LUDWIG, Houffaneh Ali Osman",9/21/2021,3/23/2023,2023
US-2024199047-A1,Onboarding and offboarding autonomous vehicles through augmented reality ,International Business Machines Corporation,"Tushar Agrawal, Jeremy R. Fox, Atul Mene, Sarbajit K. Rakshit",12/14/2022,6/20/2024,2024
US-2024070801-A1,Processing-in-memory system with deep learning accelerator for artificial intelligence ,"Micron Technology, Inc.","Xinyu Wu, Timothy Paul Finkbeiner, Peter Lawrence Brown, Troy Dale Larsen, Glen Earl Hush, Troy Allen Manning",8/31/2022,2/29/2024,2024
US-2024383490-A1,Systems and methods for using a partitioned deep neural network with a constrained data cap ,Steering Solutions Ip Holding Corporation,Jonathan Hirscher,5/15/2023,11/21/2024,2024
US-2025052820-A1,Systems and methods for state of health assessment in rechargeable batteries ,Eatron Technologies Limited,"Ali Ibrahim Ozkan, Muharrem Ugur Yavas, Can Kurtulus",,2/13/2025,2025
US-2023211684-A1,A plug-in module for wireless charging ,Veturex Inc,"Faruk Yerli, Cengiz Hakan KUTLUHAN",4/1/2021,7/6/2023,2023
US-2024217389-A1,Modelling of electric vehicle charging and driving usage behavior with vehicle-based clustering ,Volkswagen Aktiengesellschaft,"Gianina Alina Negoita, William Paxton, Matthew Yen",12/29/2022,7/4/2024,2024
